Front	Back	SourceURL	Published	PostTitle
"The point where the parieto mastoid, occipito mastoid, and the lambdoid sutures meet is :
A. Pterion
B. Obelion
C. Asterion
D. Bregma"	"Answer: C

Asterion corresponds to the anatomical landmark or relationship asked. It is the correct match for the point where the parieto mastoid, occipito mastoid, and the lambdoid sutures meet is. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Which of the following is the unpaired bone of facial skeleton ?
A. Nasal
B. Lacrimal
C. Inferior nasal conchae
D. Vomer"	"Answer: D

Vomer corresponds to the anatomical landmark or relationship asked. It is the correct match for which of the following is the unpaired bone of facial skeleton. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Foramen magnum transmits all except : (Two answers correct )
A. Vertebral artery
B. Spinal branch 10th nerve
C. Spinal cord
D. Vertebral venous plexus"	"Answer: C

This is an exception-style question. Spinal cord is the choice that does not fit the group described in the stem. The other options share the common feature being tested."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Structure passing through foramen spinosum is :
A. Accessory meningeal artery
B. Middle meningeal artery
C. Mandibular nerve
D. Maxillary nerve"	"Answer: B

Middle meningeal artery corresponds to the anatomical landmark or relationship asked. It is the correct match for structure passing through foramen spinosum is. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Foramen caecum is seen in:
A. Ethmoid bone
B. Tongue
C. Sphenoid
D. A and B"	"Answer: D

A and B corresponds to the anatomical landmark or relationship asked. It is the correct match for foramen caecum is seen in. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Bone better described as 'bat with extended wings' is :
A. Ethmoid
B. Sphenoid
C. Nasal
D. Mandible"	"Answer: B

Sphenoid corresponds to the anatomical landmark or relationship asked. It is the correct match for bone better described as 'bat with extended wings' is. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"All of the following features of skull of a newborn are true except :
A. Diploe not formed
B. Styloid process has not fused with rest of the temporal bone
C. Anterior fontanelle open
D. Mastoid process is of adult size"	"Answer: D

This is an exception-style question. Mastoid process is of adult size is the choice that does not fit the group described in the stem. The other options share the common feature being tested."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Suprameatal triangle externally represents :
A. Transverse sinus
B. Promontory of middle ear
C. Internal acoustic meatus
D. Mastoid antrum"	"Answer: D

Mastoid antrum best fits the anatomical fact tested in the stem. The other options do not satisfy the relationship or definition described."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Anterior limit of infratemporal fossa is :
A. Lateral pterygoid plate
B. Maxillary posterior wall
C. Pterygomaxillary fissure
D. Mastoid process"	"Answer: B

Maxillary posterior wall corresponds to the anatomical landmark or relationship asked. It is the correct match for anterior limit of infratemporal fossa is. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Which of the following muscles originates from the zygomatic process off the maxilla ?
A. Middle temporal
B. Lateral pterygoid
C. Superficial layer of masseter
D. Posterior portion of the buccinator"	"Answer: C

Superficial layer of masseter corresponds to the anatomical landmark or relationship asked. It is the correct match for which of the following muscles originates from the zygomatic process off the maxilla. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Muscle, which pulls the disk of TMJ downward :
A. Lateral pterygoid
B. Medial pterygoid
C. Digastric
D. Mylohyoid"	"Answer: A

This tests muscular anatomy or action. Lateral pterygoid is the muscle or group that performs the action or attachment in the stem. The remaining options do not match the specified function."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Foramen transversarium transmits :
A. Inferior jugular vein
B. Inferior petrosal sinus
C. Sigmoid sinus
D. Vertebral artery"	"Answer: D

Vertebral artery corresponds to the anatomical landmark or relationship asked. It is the correct match for foramen transversarium transmits. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Structures passing through foramen ovale :
A. Emissary vein
B. Mandibular nerve
C. Trigeminal nerve
D. A and B"	"Answer: D

A and B corresponds to the anatomical landmark or relationship asked. It is the correct match for structures passing through foramen ovale. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Which of the following is present in the posterior cranial fossa in a five year old child ?
A. Foramen rotundum
B. Foramen lacerum
C. Jugular foramen
D. Foramen spinosum"	"Answer: C

Jugular foramen corresponds to the anatomical landmark or relationship asked. It is the correct match for which of the following is present in the posterior cranial fossa in a five year old child. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Which structure passes through infra orbital fissures ?
A. Superior ophthalmic vein
B. Ophthalmic artery
C. Trochlear nerve
D. Zygomatic nerve"	"Answer: D

Zygomatic nerve best fits the anatomical fact tested in the stem. The other options do not satisfy the relationship or definition described."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Which of the following does not pass through superior orbital fissure ?
A. Occulomotor nerve
B. Optic nerve
C. Ophthalmic division of the trigeminal
D. Trochlear nerve"	"Answer: B

This is an exception-style question. Optic nerve is the choice that does not fit the group described in the stem. The other options share the common feature being tested."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Which vertebra has the most prominent spine ?
A. C2
B. C7
C. T10
D. L2"	"Answer: B

C7 best fits the anatomical fact tested in the stem. The other options do not satisfy the relationship or definition described."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Accessory meningeal artery enters cranial cavity through :
A. Foramen lacerum
B. Foramen rotundum
C. Foramen spinosum
D. Foramen ovale"	"Answer: D

This question concerns vascular anatomy. Foramen ovale is the vessel or branch that fits the description in the stem. The other options are different vessels or supply different territories."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Mental spine provide attachment to :
A. Genioglossus
B. Anterior and posterior bellies of digastric
C. Mylohyoid
D. Superior constrictor of pharynx"	"Answer: A

This tests muscular anatomy or action. Genioglossus is the muscle or group that performs the action or attachment in the stem. The remaining options do not match the specified function."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Following foramina are found in greater wing of sphenoid except :
A. Foramen rotundum
B. Canaliculus innominatus
C. Foramen spinosum
D. Optic canal"	"Answer: D

This is an exception-style question. Optic canal is the choice that does not fit the group described in the stem. The other options share the common feature being tested."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"The first costochondral joint is a :
A. Fibrous joint
B. Synovial joint
C. Fimosis
D. Synarthrosis"	"Answer: D

The stem asks for the most appropriate or primary option. Synarthrosis best matches the key feature in the stem. The other choices are secondary or refer to different structures."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"The typical cervical differs from thoracic vertebra in that it:
A. has a triangular body
B. has a foramen transversarium
C. Superior articular facet directed backwards and upwards
D. has a large vertebral body"	"Answer: B

has a foramen transversarium best fits the anatomical fact tested in the stem. The other options do not satisfy the relationship or definition described."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"The joint between the atlas and axis :
A. is Synovial
B. is closely related to the first cervical nerves
C. allows rotation of the head
D. is supported by the alar ligaments"	"Answer: C

allows rotation of the head best fits the anatomical fact tested in the stem. The other options do not satisfy the relationship or definition described."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Joint between two bony surfaces linked by cartilage in the plane of body is called :
A. Syndesmosis
B. Symphysis
C. Synchondrosis
D. Suture"	"Answer: C

Synchondrosis best fits the anatomical fact tested in the stem. The other options do not satisfy the relationship or definition described."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Which out of the following bones ossify first ?
A. Mandible
B. Nasal bone
C. Vomer
D. Occipital"	"Answer: A

The stem asks for the most appropriate or primary option. Mandible best matches the key feature in the stem. The other choices are secondary or refer to different structures."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"The type of suture represented by sagittal suture of the cranial vault is :
A. Serrate
B. Denticulate
C. Squamous
D. Plane"	"Answer: A

Serrate corresponds to the anatomical landmark or relationship asked. It is the correct match for the type of suture represented by sagittal suture of the cranial vault is. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Which of the following is the weakest part of the orbit ?
A. Medial wall
B. Lateral wall
C. Floor of the orbit
D. Roof of the orbit"	"Answer: A

Medial wall best fits the anatomical fact tested in the stem. The other options do not satisfy the relationship or definition described."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"The hyoid bone lies in the midline at the front of the neck at the level of the :
A. Third cervical vertebra
B. Fourth cervical vertebra
C. Fifth cervical vertebra
D. Seventh cervical vertebra"	"Answer: A

Third cervical vertebra corresponds to the anatomical landmark or relationship asked. It is the correct match for the hyoid bone lies in the midline at the front of the neck at the level of the. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"The orbital opening is somewhat:
A. Quadrangular
B. Oval
C. Oblong
D. Circular"	"Answer: A

Quadrangular best fits the anatomical fact tested in the stem. The other options do not satisfy the relationship or definition described."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Mandibular fossa is a part of :
A. Mandible bone
B. Maxilla bone
C. Sphenoid bone
D. Temporal bone"	"Answer: D

Temporal bone corresponds to the anatomical landmark or relationship asked. It is the correct match for mandibular fossa is a part of. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Which of the following is located medial to the third molar at the junction of the maxilla and the horizontal plate of the palatine bone ?
A. Posterior nasal spine
B. Mylohyoid line
C. Pterygoid hamulus
D. Greater palatine foramen"	"Answer: D

Greater palatine foramen corresponds to the anatomical landmark or relationship asked. It is the correct match for which of the following is located medial to the third molar at the junction of the maxilla and the horizontal plate of the palatine bone. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"All of the following canals open on the posterior wall of the pterygopalatine fossa EXCEPT :
A. Greater palatine canal
B. Foramen rotundum
C. Pterygoid canal
D. Palatovaginal canal"	"Answer: A

This is an exception-style question. Greater palatine canal is the choice that does not fit the group described in the stem. The other options share the common feature being tested."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"All of the following are pneumatic bones except :
A. Mastoid
B. Mandible
C. Maxilla
D. Ethmoid"	"Answer: B

This is an exception-style question. Mandible is the choice that does not fit the group described in the stem. The other options share the common feature being tested."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"What is the number of bones a neonate has in the skeleton ?
A. 270
B. 250
C. 230
D. 206"	"Answer: A

270 corresponds to the anatomical landmark or relationship asked. It is the correct match for what is the number of bones a neonate has in the skeleton. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Deepest layer of deep cervical fascia is :
A. Prevertebral
B. Carotid sheath
C. Pretracheal
D. Temporal"	"Answer: A

Prevertebral best fits the anatomical fact tested in the stem. The other options do not satisfy the relationship or definition described."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"Not a part of Ethmoid bone is:
A. Inferior turbinate
B. Agar nasi cells
C. Uncinate process
D. Crista galli"	"Answer: A

This is an exception-style question. Inferior turbinate is the choice that does not fit the group described in the stem. The other options share the common feature being tested."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"A dome shaped skull is known as :
A. Brachy-cephaly
B. Oxy-cephaly
C. Scapho-cephaly
D. Rhombo-encephaly"	"Answer: B

Oxy-cephaly corresponds to the anatomical landmark or relationship asked. It is the correct match for a dome shaped skull is known as. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"The suture between the two halves of the frontal bone is :
A. Metopic
B. Symphysis
C. Mendosal
D. Coronal"	"Answer: A

Metopic corresponds to the anatomical landmark or relationship asked. It is the correct match for the suture between the two halves of the frontal bone is. The other options refer to different landmarks or bones."	https://www.dentaldevotee.com/2017/06/mcqs-in-anatomy-basic-general-anatomy.html	2017-06-01	MCQs in Anatomy - Basic General Anatomy : Skeletal System / Osteology
"The inferior dental artery is a branch of the :
A. Mandibular artery
B. Maxillary artery
C. Pterygomandibular plexus
D. None of the above"	"Answer: B

This question concerns vascular anatomy. Maxillary artery is the vessel or branch that fits the description in the stem. The other options are different vessels or supply different territories."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"The middle meningeal artery :
A. Enters the skull through the foramen ovale
B. Supplies the superolateral surface of the ipsilateral cerebral hemisphere
C. Runs a subdural course within the cranial cavity
D. Gives an interior branch which runs deep to the pterion"	"Answer: D

This question concerns vascular anatomy. Gives an interior branch which runs deep to the pterion is the vessel or branch that fits the description in the stem. The other options are different vessels or supply different territories."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"The cavernous sinus does not communicate with the :
A. Ophthalmic vein
B. Internal jugular vein
C. External jugular vein
D. Pterygoid plexus"	"Answer: C

This is an exception-style question. External jugular vein is the choice that does not fit the group described in the stem. The other options share the common feature being tested."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"The artery, which runs along the lower border of posterior belly of digastric is :
A. Lingual
B. Ascending hypophyseal
C. Occipital
D. Palatine"	"Answer: C

This question concerns vascular anatomy. Occipital is the vessel or branch that fits the description in the stem. The other options are different vessels or supply different territories."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"All of the following are true of maxillary artery except :
A. The branches of maxillary artery accompany the branches of maxillary nerve
B. It is one of the terminal branches of ECA
C. It passes deep between the two heads of lateral pterygoid muscle into the pterygopalatine fossa
D. It is the arterial supply for mandible"	"Answer: A

This is an exception-style question. The branches of maxillary artery accompany the branches of maxillary nerve is the choice that does not fit the group described in the stem. The other options share the common feature being tested."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"Little's area constitutes :
A. Anastomosis between branch of maxillary artery and the branch of facial artery
B. Anastomosis between two branches of facial artery
C. Anastomosis between two branches of maxillary artery
D. None of the above"	"Answer: A

Anastomosis between branch of maxillary artery and the branch of facial artery best fits the anatomical fact tested in the stem. The other options do not satisfy the relationship or definition described."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"Ophthalmic artery is a branch of :
A. Maxillary artery
B. Sphenopalatine artery
C. ICA
D. ECA"	"Answer: C

This question concerns vascular anatomy. ICA is the vessel or branch that fits the description in the stem. The other options are different vessels or supply different territories."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"All of the following are branches of external carotid artery except :
A. Superior thyroid artery
B. Anterior ethmoidal artery
C. Posterior auricular artery
D. Occipital artery"	"Answer: B

This is an exception-style question. Anterior ethmoidal artery is the choice that does not fit the group described in the stem. The other options share the common feature being tested."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"Which is the only medial branch of the external carotid artery ?
A. Superior thyroid
B. Lingual
C. Internal maxillary
D. Ascending pharyngeal"	"Answer: D

This question concerns vascular anatomy. Ascending pharyngeal is the vessel or branch that fits the description in the stem. The other options are different vessels or supply different territories."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"Submandibular gland is supplied by :
A. Lingual artery
B. Facial artery
C. Submandibular artery
D. Inferior alveolar artery"	"Answer: B

Facial artery best fits the anatomical fact tested in the stem. The other options do not satisfy the relationship or definition described."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"The common carotid artery may be palpated at : (TWO ANSWERS CORRECT ) Check page 141, Q.11
A. Hyoid bone
B. Upper border of thyroid cartilage
C. Transverse process of C5
D. Transverse process of C6"	"Answer: D

This question concerns vascular anatomy. Transverse process of C6 is the vessel or branch that fits the description in the stem. The other options are different vessels or supply different territories."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"The arterial supply of trachea is by the :
A. Bronchial artery
B. Tracheal artery
C. Inferior thyroid artery
D. Superior thyroid artery"	"Answer: C

This tests neural supply. Inferior thyroid artery is the nerve/structure that supplies the region or muscle named in the stem. The other options do not provide the correct innervation."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"First part of vertebral artery is related to :
A. Superior cervical ganglion
B. Middle cervical ganglion
C. Stellate ganglion
D. Ciliary ganglion"	"Answer: C

The stem asks for the most appropriate or primary option. Stellate ganglion best matches the key feature in the stem. The other choices are secondary or refer to different structures."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"Pulsations felt in the suprasternal space are probably due to :
A. Subclavian artery
B. Common carotid artery
C. Inferior thyroid artery
D. Vertebral artery"	"Answer: C

Inferior thyroid artery best fits the anatomical fact tested in the stem. The other options do not satisfy the relationship or definition described."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"Ascending palatine artery is a branch of :
A. Internal carotid artery
B. External carotid artery
C. Facial artery
D. Ascending pharyngeal artery"	"Answer: C

This question concerns vascular anatomy. Facial artery is the vessel or branch that fits the description in the stem. The other options are different vessels or supply different territories."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"Arterial supply of Submandibular gland is through which branch of ECA ?
A. Ascending pharyngeal
B. Superior pharyngeal
C. Maxillary
D. Facial"	"Answer: D

This tests neural supply. Facial is the nerve/structure that supplies the region or muscle named in the stem. The other options do not provide the correct innervation."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"The tonsillar ring or Waldeyer's ring consists of :
A. The adenoid
B. The lingual tonsil
C. The tonsil
D. All of the above"	"Answer: D

All of the above best fits the anatomical fact tested in the stem. The other options do not satisfy the relationship or definition described."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
"Facial artery is the branch of the :
A. Internal carotid artery
B. External carotid artery
C. Superficial temporal
D. Maxilary artery"	"Answer: B

This question concerns vascular anatomy. External carotid artery is the vessel or branch that fits the description in the stem. The other options are different vessels or supply different territories."	https://www.dentaldevotee.com/2017/02/mcqs-on-vascular-supply-of-head-and-neck.html	2017-02-01	MCQs on Vascular Supply of Head and Neck
